id,location,recorded_at,created_at,source,additional,exclusion_flags,das_tenant
d70a3e97-e89c-4872-9bc1-30424aacfeb9,SRID=4326;POINT (-4.127257774385091 8.666068438835902),2024-05-29 12:01:27+00:00,2024-05-30 02:02:10.470536+00:00,738685A (telonics-collars),"{'hdop': 0.9745201923275201, 'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'satellite_count': 8}",0,elephants-ci.pamdas.org
4a4ded28-e442-4a20-a11d-bc6df398fa8b,SRID=4326;POINT (-4.127197081220999 8.665406887763975),2024-05-29 14:01:46+00:00,2024-05-30 02:02:32.600952+00:00,738685A (telonics-collars),"{'hdop': 1.6943643017491063, 'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'satellite_count': 6}",0,elephants-ci.pamdas.org
02cb347a-1516-46e3-b2a6-602e533683db,SRID=4326;POINT (-4.125436 8.665686000000001),2024-05-29 16:00:56+00:00,2024-05-30 02:02:09.728103+00:00,738685A (telonics-collars),"{'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'horizontal_error': 18.5}",0,elephants-ci.pamdas.org
96af467f-b42e-4314-ba1a-2348de2fb021,SRID=4326;POINT (-4.12438768415476 8.67463535878219),2024-05-29 08:03:06+00:00,2024-05-30 02:02:09.852672+00:00,738685A (telonics-collars),"{'hdop': 1.156113460298314, 'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'satellite_count': 8}",0,elephants-ci.pamdas.org
cf32d631-5eab-4f94-b9b2-16027526c9a7,SRID=4326;POINT (-4.124008843073068 8.672711521849903),2024-05-29 10:02:04+00:00,2024-05-30 02:02:18.012210+00:00,738685A (telonics-collars),"{'hdop': 1.331366543487526, 'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'satellite_count': 7}",0,elephants-ci.pamdas.org
8b1dbd82-fc85-45da-be30-2956ed94e033,SRID=4326;POINT (-4.121498 8.678539000000001),2024-05-29 06:01:06+00:00,2024-05-30 02:02:12.032408+00:00,738685A (telonics-collars),"{'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'horizontal_error': 9.5}",0,elephants-ci.pamdas.org
eab1b741-679d-4bb8-9d53-ad52ca4a2171,SRID=4326;POINT (-4.1208231420649 8.671034364069008),2024-05-29 18:02:10+00:00,2024-05-30 02:02:34.466393+00:00,738685A (telonics-collars),"{'hdop': 0.8776877790375265, 'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'satellite_count': 11}",0,elephants-ci.pamdas.org
f1888056-583c-447b-b6c8-7f5cb317b045,SRID=4326;POINT (-4.117904 8.68252),2024-05-29 20:01:13+00:00,2024-05-30 02:02:16.249049+00:00,738685A (telonics-collars),"{'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'horizontal_error': 22.5}",0,elephants-ci.pamdas.org
84ea5a6d-db15-444b-84a8-f8560b8063f7,SRID=4326;POINT (-4.109783 8.681694),2024-05-29 22:00:53+00:00,2024-05-30 02:02:13.452765+00:00,738685A (telonics-collars),"{'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'horizontal_error': 9.5}",0,elephants-ci.pamdas.org
da6f234a-4f26-46fe-b29e-167d7eb20c19,SRID=4326;POINT (-4.108345 8.672907),2024-05-29 04:01:25+00:00,2024-05-30 02:02:14.405416+00:00,738685A (telonics-collars),"{'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'horizontal_error': 12.5}",0,elephants-ci.pamdas.org
d03f365a-c9a1-4fc7-873c-acf4086f39bb,SRID=4326;POINT (-4.107175 8.680555999999999),2024-05-30 02:01:06+00:00,2024-05-30 02:02:16.589336+00:00,738685A (telonics-collars),"{'frequency': 150.5, 'mortality': False, 'low_voltage': False, 'horizontal_error': 6.5}",0,elephants-ci.pamdas.org
6bb8b88e-4c7e-4110-bd1b-c58c8f0c1a36,SRID=4326;POINT (-4.104794 8.671555),2024-05-30 04:01:06+00:00,2024-05-31 08:04:26.708047+00:00,738685A (telonics-collars),"{'frequency': 150.5, 'horizontal_error': 8.5}",0,elephants-ci.pamdas.org
