id,location,recorded_at,created_at,source,additional,exclusion_flags
e6a0191a-4d01-4a33-910a-b21e5d3dc36a,SRID=4326;POINT (-111.811236 33.384463),2018-07-16 13:15:06+00:00,2020-12-10 17:46:07.577203+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '8.50'}",0
d6f9c60c-7761-4fc1-bed0-c3f7ea3b8b81,SRID=4326;POINT (-111.811236 33.384474),2018-07-16 13:00:54+00:00,2020-12-10 17:46:07.562321+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '9.50'}",0
99326270-6e6f-46a8-8a5a-90791cba6887,SRID=4326;POINT (-111.811225 33.384463),2018-07-16 15:00:10+00:00,2020-12-10 17:46:07.665779+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '8.50'}",0
c066d80d-da65-4556-b6cc-d36f4161e2dc,SRID=4326;POINT (-111.811214 33.384431),2018-07-16 14:30:09+00:00,2020-12-10 17:46:07.641383+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '9.50'}",0
9bd611db-3065-4d17-9d82-03baac634c85,SRID=4326;POINT (-111.811214 33.384442),2018-07-16 14:45:10+00:00,2020-12-10 17:46:07.653126+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '9.50'}",0
70a0f753-b20d-4830-aec0-cab2229a7584,SRID=4326;POINT (-111.811203 33.384442),2018-07-16 15:15:07+00:00,2020-12-10 17:46:07.678404+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '9.50'}",0
e31d2755-4502-4d74-b060-a6078f11bb54,SRID=4326;POINT (-111.811203 33.384452),2018-07-16 14:15:10+00:00,2020-12-10 17:46:07.628047+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '9.50'}",0
057432df-e713-4ba2-b657-de00101c74e6,SRID=4326;POINT (-111.811203 33.384506),2018-07-16 13:30:10+00:00,2020-12-10 17:46:07.591280+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '8.50'}",0
c6aa5da2-9f8d-4c54-a540-c7e42d8f0d72,SRID=4326;POINT (-111.811193 33.384452),2018-07-16 13:45:34+00:00,2020-12-10 17:46:07.602736+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '6.50'}",0
e88d3a7c-a2b7-45ee-a7c1-8cb30e815524,SRID=4326;POINT (-111.811171 33.384506),2018-07-16 14:00:09+00:00,2020-12-10 17:46:07.614654+00:00,703631A (telonics-collars),"{'mortality': False, 'low_voltage': False, 'horizontal_error': '9.50'}",0
