id,location,recorded_at,created_at,source,additional,exclusion_flags
c4943557-b3e9-43cc-980e-b6ff9224bf74,SRID=4326;POINT (-6.336349 5.389894),2024-05-03 04:00:45+00:00,2024-05-03 04:08:55.211972+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 9.5}",0
d28da5a6-a53c-467a-baaf-eeb49c6616f8,SRID=4326;POINT (-6.125334 5.437744),2024-05-01 00:00:55+00:00,2024-05-03 04:08:54.775204+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 21.5}",0
bcc7a4f9-3c69-43f2-95a8-6810b5462036,SRID=4326;POINT (-6.11836 5.433936),2024-05-01 16:01:25+00:00,2024-05-03 04:08:54.989699+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 27.5}",0
72f527df-c0b3-4c07-96fe-1b17ab73e457,SRID=4326;POINT (-6.117437 5.431286),2024-05-01 04:02:12+00:00,2024-05-03 04:08:54.993212+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 28.5}",0
3233ec70-2682-46ab-9ff5-8e6bca0ab22d,SRID=4326;POINT (-6.117416 5.43356),2024-05-01 08:02:55+00:00,2024-05-03 04:08:54.076929+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 27.5}",0
d8f0f883-d9cf-47e5-af2e-49245dbdc372,SRID=4326;POINT (-6.117148 5.434687),2024-05-01 12:02:07+00:00,2024-05-03 04:08:54.096184+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 15.5}",0
dba774fc-2fdf-4952-98de-930604884181,SRID=4326;POINT (-6.084833 5.483492),2024-04-30 20:02:00+00:00,2024-05-03 04:08:54.542857+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 46.5}",0
e6cbbedd-e9d2-4340-ac43-ad5a50030564,SRID=4326;POINT (-6.065113 5.502343),2024-04-30 04:01:01+00:00,2024-05-03 04:08:53.625413+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 35.5}",0
cf43349a-da5d-4f86-9d25-ecc213552a13,SRID=4326;POINT (-6.064984 5.501935),2024-04-30 08:01:39+00:00,2024-05-03 04:08:53.636345+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 19.5}",0
d37be070-56b3-421d-96a4-10ac3295f150,SRID=4326;POINT (-6.064813 5.50231),2024-04-30 16:00:46+00:00,2024-05-03 04:08:54.532553+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 9.5}",0
eeabd530-f3f6-4af1-a33b-fff5a67e2343,SRID=4326;POINT (-6.064469 5.502278),2024-04-30 12:00:42+00:00,2024-05-03 04:08:54.860543+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 9.5}",0
caac8c23-7ad8-4ec4-99ba-b84bd2ccd0cc,SRID=4326;POINT (-6.061057 5.511462),2024-04-30 00:01:07+00:00,2024-04-30 00:05:10.787506+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 19.5}",0
5e186fa3-2468-4904-8947-dd9c502939da,SRID=4326;POINT (-6.054888 5.726039),2024-02-15 00:00:55+00:00,2024-02-15 02:39:47.995775+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 9.5}",0
1271fb43-639d-4d26-9608-e9d680aae479,SRID=4326;POINT (-6.052313 5.733549),2024-02-14 20:00:36+00:00,2024-02-16 18:39:19.251764+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 8.5}",0
49d1c5ef-d4ff-4fb0-9345-1d7a6f1a5d07,SRID=4326;POINT (-6.051165 5.737615),2024-02-14 16:01:37+00:00,2024-02-16 18:39:17.624115+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 19.5}",0
c8d6b773-3f3a-4652-bcf0-f3a5a07a5e26,SRID=4326;POINT (-6.050754669144932 5.73788258565142),2024-02-14 12:02:24+00:00,2024-02-16 18:39:18.092468+00:00,735999A (telonics-collars),"{'hdop': 1.0820416758014613, 'frequency': 150.3, 'satellite_count': 9}",0
f4dfef25-b588-4a9c-babe-ff2ae01e2c5e,SRID=4326;POINT (-6.050493358836942 5.738268874868389),2024-02-14 08:03:07+00:00,2024-02-16 18:39:18.651040+00:00,735999A (telonics-collars),"{'hdop': 0.9630109382381313, 'frequency': 150.3, 'satellite_count': 10}",0
e94ea5a0-3bb1-48c3-a01b-3a2ee535a6a5,SRID=4326;POINT (-6.026403 5.730223),2024-02-14 04:01:37+00:00,2024-02-16 18:39:17.621095+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 24.5}",0
7b5c55ca-b4ef-49d4-a1d5-9392d51c0cd1,SRID=4326;POINT (-6.022123 5.655164),2024-02-15 04:00:55+00:00,2024-02-16 18:39:33.293632+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 11.5}",0
0d858b86-cc1d-4058-8736-2bb0f4bda708,SRID=4326;POINT (-6.014033 5.595158),2024-04-29 00:00:39+00:00,2024-04-30 00:05:09.767723+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 9.5}",0
07835e35-3e64-4bb0-8f4d-26e4d7538f0c,SRID=4326;POINT (-6.013572 5.568658),2024-04-29 20:02:02+00:00,2024-05-03 04:08:53.166793+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 37.5}",0
d1a57329-30b6-4483-b55f-5fa599f4395b,SRID=4326;POINT (-6.01252 5.597937),2023-10-31 02:00:36+00:00,2023-10-31 02:31:25.691841+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 8.5}",0
459bfa6a-8138-4386-94cc-828035e52387,SRID=4326;POINT (-6.012445 5.598645),2024-04-16 20:00:35+00:00,2024-04-19 16:06:55.972113+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 9.5}",0
ccd9f6e7-e8a8-4917-9646-6162110f3861,SRID=4326;POINT (-6.012166 5.598001),2023-10-31 00:00:50+00:00,2023-10-31 00:36:18.778176+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 41.5}",0
9382eeac-8b93-41e7-8366-80f168c0ef36,SRID=4326;POINT (-6.011834 5.598516),2024-04-16 12:01:36+00:00,2024-04-19 16:06:59.165755+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 20.5}",0
1b68c27f-b7e2-4a32-b6b6-7a247a4299d6,SRID=4326;POINT (-6.011587 5.599245),2024-04-03 16:01:43+00:00,2024-04-05 18:39:10.978548+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 34.5}",0
06d4fd79-155f-4b5e-820b-39e4d9ddb645,SRID=4326;POINT (-6.011565 5.599589),2024-04-28 20:01:31+00:00,2024-04-30 00:05:11.112592+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 24.5}",0
43ad4744-ed61-4110-96d8-c74faf857e38,SRID=4326;POINT (-6.011351 5.595694),2024-04-04 20:02:02+00:00,2024-04-09 06:40:55.263971+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 11.5}",0
9338bb20-01ae-44ec-9f26-4e3840550a4d,SRID=4326;POINT (-6.011351 5.596606),2023-10-30 22:00:36+00:00,2023-10-30 22:01:31.617714+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 9.5}",0
48fa757b-0b42-4b60-b62f-4bda69dff76c,SRID=4326;POINT (-6.011297 5.596628),2024-04-17 16:00:36+00:00,2024-04-19 16:06:57.535125+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 9.5}",0
967f4681-bca7-4a57-9301-ab1efe1e96f0,SRID=4326;POINT (-6.011104 5.595973),2024-04-29 16:00:50+00:00,2024-04-30 00:05:11.228705+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 10.5}",0
