id,location,recorded_at,created_at,source,additional,exclusion_flags,das_tenant
7b4f3369-9588-46be-9a23-b38d021c9ba4,SRID=4326;POINT (-6.346026 5.458665),2024-06-24 16:01:37+00:00,2024-06-24 16:04:07.049492+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 22.5}",0,elephants-ci.pamdas.org
5be38097-3c5b-4bba-b9e1-7a268c81286d,SRID=4326;POINT (-6.343011 5.457743),2024-06-24 12:02:13+00:00,2024-06-24 16:04:08.634486+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 89.5}",0,elephants-ci.pamdas.org
290cb2b7-1b50-488c-9fc6-053806fc9950,SRID=4326;POINT (-6.34152 5.45741),2024-06-24 08:01:07+00:00,2024-06-24 16:04:08.959186+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 62.5}",0,elephants-ci.pamdas.org
f251833e-6f00-42cb-b16b-e355c66c5962,SRID=4326;POINT (-6.337025 5.451939),2024-06-24 04:00:55+00:00,2024-06-24 16:04:08.502766+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 30.5}",0,elephants-ci.pamdas.org
3d364ae5-2b13-490e-9b99-8c0cb5386af6,SRID=4326;POINT (-6.34397494085789 5.473522858563587),2024-06-24 00:02:51+00:00,2024-06-24 16:04:09.517143+00:00,735999A (telonics-collars),"{'hdop': 1.0123609180150952, 'frequency': 150.3, 'satellite_count': 9}",0,elephants-ci.pamdas.org
b0757fbb-85b4-44e5-a011-91ec5b016abf,SRID=4326;POINT (-6.337089 5.461455),2024-06-23 20:01:55+00:00,2024-06-24 16:04:07.043067+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 23.5}",0,elephants-ci.pamdas.org
fc4f0806-f3cf-4b41-99ba-3d40f61ad0a3,SRID=4326;POINT (-6.341348 5.459846),2024-06-23 16:01:37+00:00,2024-06-24 16:04:09.044498+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 35.5}",0,elephants-ci.pamdas.org
55fb29af-5a60-4580-9818-6243a5cda97c,SRID=4326;POINT (-6.343247 5.458794),2024-06-23 12:01:29+00:00,2024-06-24 16:04:08.017172+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 10.5}",0,elephants-ci.pamdas.org
ce3ee351-708b-4eae-b4e1-c492cae6b0c7,SRID=4326;POINT (-6.342378 5.458344),2024-06-23 08:01:30+00:00,2024-06-24 16:04:07.561894+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'horizontal_error': 24.5}",0,elephants-ci.pamdas.org
02d6f297-d7f5-4568-b4b0-bb5a67dab546,SRID=4326;POINT (-6.337711 5.451434),2024-06-23 00:00:37+00:00,2024-06-23 00:04:06.690826+00:00,735999A (telonics-collars),"{'frequency': 150.3, 'mortality': False, 'low_voltage': False, 'horizontal_error': 6.5}",0,elephants-ci.pamdas.org
